p__d31001,p__d31002,p__d31003,p__d31005,p__d31007,p__d26001,p__d26075,p__d26092,p__d11001,p__d22001,p__d28001,p__d29001,_idx,_model,_wave,성별,연령대
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,52,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,53,gemini,2025,남성,2
3,1,7.0,3.0,2.0,1,1,1,1,1,1,1,54,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,55,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,56,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,2,1,2,2,57,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,58,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,2,59,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,60,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,61,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,1,62,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,1,1,63,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,1,64,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,65,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,66,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,2,67,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,68,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,2,69,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,70,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,71,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,72,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,73,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,1,74,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,2,75,gemini,2025,남성,2
2,2,,,,2,1,2,2,1,2,2,76,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,77,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,78,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,79,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,2,80,gemini,2025,남성,2
2,2,,,,2,1,2,2,1,2,2,81,gemini,2025,남성,2
2,2,,,,1,1,2,2,1,2,2,82,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,2,83,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,84,gemini,2025,남성,2
3,1,1.0,4.0,2.0,2,1,2,1,1,2,2,85,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,1,86,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,1,87,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,1,88,gemini,2025,남성,2
2,1,1.0,5.0,2.0,1,1,1,1,1,2,1,89,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,1,90,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,91,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,92,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,1,1,93,gemini,2025,남성,2
2,2,,,,1,1,2,1,1,2,2,94,gemini,2025,남성,2
3,1,7.0,3.0,2.0,1,1,2,1,1,1,1,95,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,2,96,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,97,gemini,2025,남성,2
3,1,8.0,3.0,2.0,1,1,2,1,1,2,2,98,gemini,2025,남성,2
3,1,7.0,3.0,2.0,1,1,2,1,1,2,2,99,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,1,2,100,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,101,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,1,102,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,2,103,gemini,2025,남성,2
3,1,8.0,3.0,2.0,1,1,1,1,1,1,2,104,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,105,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,106,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,2,107,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,108,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,109,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,2,110,gemini,2025,남성,2
3,1,8.0,3.0,2.0,1,1,1,1,1,2,1,111,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,112,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,2,113,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,114,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,1,115,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,116,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,1,117,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,118,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,1,1,119,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,120,gemini,2025,남성,2
3,1,8.0,3.0,2.0,1,1,2,1,1,2,1,121,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,1,122,gemini,2025,남성,2
2,2,,,,2,1,2,2,1,2,2,123,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,2,124,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,2,125,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,126,gemini,2025,남성,2
2,1,1.0,4.0,2.0,1,1,1,1,1,2,2,127,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,1,2,128,gemini,2025,남성,2
3,1,7.0,3.0,2.0,1,1,1,1,1,2,2,129,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,1,1,130,gemini,2025,남성,2
3,1,8.0,3.0,2.0,1,1,2,1,1,2,1,131,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,132,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,133,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,134,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,2,135,gemini,2025,남성,2
3,1,7.0,3.0,2.0,1,1,2,1,1,2,2,136,gemini,2025,남성,2
3,1,1.0,1.0,2.0,1,1,1,1,1,2,1,137,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,138,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,1,139,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,140,gemini,2025,남성,2
2,2,,,,1,1,2,1,1,2,2,141,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,142,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,143,gemini,2025,남성,2
2,1,1.0,3.0,2.0,1,1,1,1,1,2,2,144,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,145,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,1,146,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,147,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,148,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,149,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,150,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,2,151,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,152,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,153,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,2,154,gemini,2025,남성,2
3,1,7.0,3.0,2.0,1,1,1,1,1,1,2,155,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,156,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,157,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,158,gemini,2025,남성,2
3,1,8.0,3.0,2.0,1,1,2,1,1,2,2,159,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,160,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,2,161,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,162,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,163,gemini,2025,남성,2
2,2,,,,1,1,2,1,1,2,1,164,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,2,165,gemini,2025,남성,2
3,1,8.0,3.0,2.0,1,1,2,2,1,2,2,166,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,167,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,168,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,169,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,170,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,171,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,172,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,173,gemini,2025,남성,2
3,1,1.0,5.0,2.0,1,1,1,1,1,2,1,174,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,1,175,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,176,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,2,177,gemini,2025,남성,2
3,1,7.0,3.0,2.0,1,1,2,1,1,2,2,178,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,2,1,2,2,179,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,180,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,2,181,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,1,182,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,183,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,184,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,1,185,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,2,186,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,187,gemini,2025,남성,2
3,1,8.0,3.0,2.0,1,1,1,1,1,1,1,188,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,189,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,190,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,191,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,192,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,193,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,194,gemini,2025,남성,2
4,1,7.0,3.0,1.0,1,1,1,1,1,1,1,195,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,196,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,197,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,198,gemini,2025,남성,2
2,2,,,,2,1,2,2,1,2,2,199,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,200,gemini,2025,남성,2
3,1,8.0,3.0,2.0,1,1,1,1,1,2,1,201,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,202,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,1,203,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,2,204,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,2,205,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,1,206,gemini,2025,남성,2
4,1,7.0,3.0,2.0,1,1,1,1,1,1,1,207,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,2,208,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,209,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,1,1,210,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,211,gemini,2025,남성,2
3,1,7.0,3.0,2.0,1,1,1,1,1,2,2,212,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,213,gemini,2025,남성,2
3,1,8.0,3.0,2.0,1,1,2,1,1,2,1,214,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,215,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,2,1,2,2,216,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,2,217,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,218,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,2,219,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,220,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,2,221,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,2,222,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,223,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,2,224,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,225,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,226,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,227,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,2,228,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,229,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,230,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,2,231,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,1,232,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,233,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,234,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,235,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,236,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,237,gemini,2025,남성,2
3,1,8.0,3.0,2.0,1,1,1,1,1,1,1,238,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,2,239,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,2,240,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,1,241,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,1,2,242,gemini,2025,남성,2
3,1,1.0,1.0,2.0,1,1,1,1,1,2,1,243,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,2,244,gemini,2025,남성,2
3,1,1.0,1.0,2.0,1,1,1,1,1,2,1,245,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,246,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,1,1,247,gemini,2025,남성,2
3,1,8.0,3.0,2.0,1,1,1,1,1,2,1,248,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,249,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,1,250,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,251,gemini,2025,남성,2
3,1,1.0,1.0,2.0,1,1,2,1,1,2,1,252,gemini,2025,남성,2
3,1,8.0,3.0,2.0,1,1,2,2,1,2,2,253,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,1,254,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,255,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,1,256,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,2,257,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,1,1,258,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,2,259,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,260,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,2,261,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,262,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,263,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,264,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,2,265,gemini,2025,남성,2
3,1,8.0,3.0,1.0,1,1,1,1,1,1,1,266,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,1,267,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,2,268,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,269,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,270,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,2,271,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,272,gemini,2025,남성,2
3,1,8.0,3.0,2.0,1,1,1,1,1,2,1,273,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,1,274,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,275,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,2,276,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,277,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,278,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,279,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,280,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,2,281,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,2,282,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,2,283,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,284,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,285,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,2,286,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,287,gemini,2025,남성,2
3,1,8.0,3.0,2.0,1,1,1,1,1,2,2,288,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,2,289,gemini,2025,남성,2
3,1,8.0,3.0,2.0,1,1,2,1,1,2,2,290,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,291,gemini,2025,남성,2
3,1,8.0,3.0,2.0,1,1,2,1,1,2,2,292,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,1,293,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,294,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,295,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,2,296,gemini,2025,남성,2
2,2,,,,1,1,2,1,1,2,2,297,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,1,1,298,gemini,2025,남성,2
2,1,1.0,3.0,2.0,1,1,2,1,1,2,1,299,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,1,2,300,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,2,1,1,2,2,301,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,302,gemini,2025,남성,2
2,2,,,,2,1,2,2,1,2,2,303,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,2,304,gemini,2025,남성,2
2,2,,,,1,1,2,1,1,2,1,305,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,306,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,307,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,308,gemini,2025,남성,2
2,2,,,,1,1,1,1,1,2,2,309,gemini,2025,남성,2
2,2,,,,1,1,2,1,1,2,2,310,gemini,2025,남성,2
3,1,7.0,3.0,2.0,1,1,1,1,1,2,1,311,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,312,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,313,gemini,2025,남성,2
3,1,8.0,3.0,2.0,1,1,2,2,1,2,2,314,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,2,315,gemini,2025,남성,2
3,1,1.0,3.0,2.0,1,1,1,1,1,2,1,316,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,317,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,1,1,1,2,1,318,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,2,319,gemini,2025,남성,2
3,1,1.0,4.0,2.0,1,1,2,1,1,2,1,320,gemini,2025,남성,2
