p__m01016,p__m01004,p__d29001,p__d31002,p__m01005,p__m01022,p__m01012,p__d31005,p__m01015,p__m01008,p__d31003,p__m01024,p__m01014,p__m01006,p__d31001,p__d26001,p__d26075,p__m01019,p__d11001,p__d28001,p__m01011,p__m01020,p__m01007,p__d22001,p__m01017,p__m01003,p__d26092,p__m01009,p__m01013,p__m01001,p__m01010,p__d31007,p__m01018,p__m01021,p__m01002,p__m01023,_idx,_model,_wave,성별,연령대,_error
3.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,3.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,43,gemini,2024,남성,2,
2.0,2.0,1.0,1.0,4.0,3.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,44,gemini,2024,남성,2,
4.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,45,gemini,2024,남성,2,
2.0,2.0,2.0,1.0,4.0,3.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,46,gemini,2024,남성,2,
4.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,8.0,3.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,47,gemini,2024,남성,2,
4.0,2.0,1.0,1.0,4.0,3.0,2.0,4.0,3.0,4.0,1.0,3.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,48,gemini,2024,남성,2,
2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,4.0,1.0,4.0,2.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,4.0,4.0,4.0,1.0,4.0,3.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,49,gemini,2024,남성,2,
2.0,2.0,1.0,1.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,3.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,50,gemini,2024,남성,2,
3.0,2.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,51,gemini,2024,남성,2,
3.0,3.0,1.0,1.0,5.0,3.0,2.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,5.0,1.0,2.0,2.0,5.0,5.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,52,gemini,2024,남성,2,
2.0,2.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,53,gemini,2024,남성,2,
3.0,2.0,1.0,1.0,5.0,2.0,3.0,3.0,3.0,4.0,6.0,3.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,5.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,54,gemini,2024,남성,2,
3.0,3.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,55,gemini,2024,남성,2,
3.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,56,gemini,2024,남성,2,
3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,4.0,2.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,3.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,57,gemini,2024,남성,2,
2.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,2.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,58,gemini,2024,남성,2,
2.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,3.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,59,gemini,2024,남성,2,
3.0,2.0,1.0,1.0,4.0,3.0,2.0,4.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,60,gemini,2024,남성,2,
2.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,61,gemini,2024,남성,2,
3.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,62,gemini,2024,남성,2,
2.0,3.0,1.0,1.0,5.0,3.0,4.0,4.0,2.0,4.0,1.0,3.0,2.0,4.0,3.0,1.0,1.0,5.0,1.0,1.0,4.0,5.0,4.0,1.0,4.0,3.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,63,gemini,2024,남성,2,
4.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,4.0,3.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,64,gemini,2024,남성,2,
4.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,65,gemini,2024,남성,2,
4.0,3.0,1.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,66,gemini,2024,남성,2,
4.0,3.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,67,gemini,2024,남성,3,
3.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,68,gemini,2024,남성,3,
3.0,2.0,1.0,1.0,4.0,3.0,2.0,4.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,69,gemini,2024,남성,3,
2.0,3.0,1.0,1.0,4.0,3.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,70,gemini,2024,남성,3,
2.0,2.0,1.0,2.0,4.0,2.0,4.0,,2.0,4.0,,3.0,2.0,4.0,2.0,1.0,1.0,4.0,1.0,2.0,4.0,4.0,4.0,1.0,3.0,3.0,1.0,4.0,2.0,2.0,3.0,,3.0,3.0,2.0,3.0,71,gemini,2024,남성,3,
3.0,3.0,1.0,1.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,72,gemini,2024,남성,3,
3.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,73,gemini,2024,남성,3,
4.0,3.0,1.0,1.0,4.0,3.0,2.0,1.0,4.0,3.0,1.0,4.0,4.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,74,gemini,2024,남성,3,
3.0,3.0,1.0,1.0,4.0,3.0,2.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,75,gemini,2024,남성,3,
3.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,3.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,76,gemini,2024,남성,3,
3.0,3.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,77,gemini,2024,남성,3,
2.0,3.0,1.0,1.0,4.0,2.0,2.0,6.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,78,gemini,2024,남성,3,
2.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,79,gemini,2024,남성,3,
2.0,3.0,1.0,1.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,80,gemini,2024,남성,3,
2.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,81,gemini,2024,남성,3,
2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,4.0,1.0,4.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,4.0,4.0,4.0,1.0,4.0,3.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,82,gemini,2024,남성,3,
3.0,3.0,1.0,1.0,4.0,3.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,3.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,83,gemini,2024,남성,3,
3.0,2.0,1.0,1.0,5.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,84,gemini,2024,남성,3,
