_idx,uuid,sex,age,province,education_level,occupation,성별,연령대,연령대_라벨,시도,교육수준
59,cd650cc7173343f7b484d6edb3b9f326,남자,19,경기,중학교,무직,남성,2,10대,경기도,중졸
60,150d89e73fba41c49886549f0d299132,남자,19,충청남,고등학교,무직,남성,2,10대,충청남,고졸
61,9eb62aeaa0d84c168aa3bb95be1700fd,남자,19,울산,고등학교,무직,남성,2,10대,울산광역시,고졸
62,93f004d597364212a6bdd515eee8d251,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
63,545856bf6f6546d8b452b9acce148206,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
64,784e09c108a443e991f08dfb274fcda6,남자,19,부산,고등학교,무직,남성,2,10대,부산광역시,고졸
65,fdfaad122bfd4dfeaf5e0ad50a28c04a,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
66,1b7e77c8da574ce6a0bc94ed431be01b,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
67,25c13dbfda044fa98b70a7a6eee06c6f,남자,19,경기,고등학교,"전직 일식 조리사, 현재 구직중",남성,2,10대,경기도,고졸
68,c91312526c2948079801692e1e0e18d3,남자,19,전북,고등학교,무직,남성,2,10대,전북특별자치도,고졸
69,123ea6f9f0864f0fb19a3f94a004ccbb,남자,19,대구,중학교,무직,남성,2,10대,대구광역시,중졸
70,72e574dd645c4ec5b407dd4027abae2a,남자,19,전라남,고등학교,중식 조리사,남성,2,10대,전라남,고졸
71,32d422c75115445890a27e31d9f578ee,남자,19,인천,고등학교,무직,남성,2,10대,인천광역시,고졸
72,4006e2762f0f48ce99d6fb63c8b60285,남자,19,대전,고등학교,무직,남성,2,10대,대전광역시,고졸
73,d5d5631943304b3cbc7c46488d057d87,남자,19,경기,중학교,노점 및 이동 판매원,남성,2,10대,경기도,중졸
74,4128945a864744a585c828f9d884ee42,남자,19,서울,고등학교,한식 조리사,남성,2,10대,서울특별시,고졸
75,102c1227e21a4b358b3f6e1f9383e4a5,남자,19,부산,고등학교,무직,남성,2,10대,부산광역시,고졸
76,89eb3934b79e49e89b8d2d7e67ab0557,남자,19,경상남,고등학교,무직,남성,2,10대,경상남도,고졸
77,35afc838cfa34fbcba78f0754db91350,남자,19,울산,고등학교,무직,남성,2,10대,울산광역시,고졸
78,6ff3cc89ce144918a2c8f987a11d347f,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
79,e831c675d2f94057ad6e31db60a9a232,남자,19,울산,고등학교,사무 보조원,남성,2,10대,울산광역시,고졸
80,40aeef8df00f418099e2b95d541e4f36,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
81,a662cf7317e044319d79511f251b98e5,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
82,a5424461bf86473096354f4d1e64819e,남자,19,충청남,중학교,무직,남성,2,10대,충청남,중졸
83,df452a9bf6804929925e416c120ee282,남자,19,전북,고등학교,무직,남성,2,10대,전북특별자치도,고졸
84,738ad63428f4494a8aad6070089b4c04,남자,19,경기,고등학교,그 외 배달원,남성,2,10대,경기도,고졸
85,64f8a86003124e7480f89e9a6a3a6af8,남자,19,경상남,고등학교,무직,남성,2,10대,경상남도,고졸
86,781411b2b67c4297961f4334dc025021,남자,19,경상북,고등학교,무직,남성,2,10대,경상북도,고졸
87,6498e8180e3b4511bd973e9a9e0be8b3,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
88,44bcff0abb6c4a68a164f191e75ce54a,남자,19,울산,고등학교,중식 조리사,남성,2,10대,울산광역시,고졸
89,387b7b11e3f641c98f03a43f318c1fb4,남자,19,전북,중학교,주차 관리원,남성,2,10대,전북특별자치도,중졸
90,3a80dc149c1344edaa421fbec08128b4,남자,19,충청북,고등학교,무직,남성,2,10대,충청북,고졸
91,93c26a0172e648dba2ab93050721ee89,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
92,b1e181eb263544c1892303659d3a61e5,남자,19,경기,고등학교,방문 고객 상담원,남성,2,10대,경기도,고졸
93,29154ad4122e48a2aae095f1fac88167,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
94,04844f038e83411494a1cb281cb731cd,남자,19,충청남,고등학교,무직,남성,2,10대,충청남,고졸
95,ba1248a5d52c470e9948e2fdec6a0270,남자,19,전북,고등학교,무직,남성,2,10대,전북특별자치도,고졸
96,9de7e636c433426ca1b2d6f46c654dcf,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
97,3d6c6bf9ffc845cd93e72532c24581ac,남자,19,광주,고등학교,무직,남성,2,10대,광주광역시,고졸
98,126cbff512924b408451ea0133df909f,남자,19,경상북,고등학교,무직,남성,2,10대,경상북도,고졸
99,1d3bf8ba34c443b69a881410e41161be,남자,19,경상남,고등학교,무직,남성,2,10대,경상남도,고졸
100,2f03d428662640c9bf3a2908d4e9d9c1,남자,19,전라남,고등학교,무직,남성,2,10대,전라남,고졸
101,844c2ffc90d746ec80aedd97a88009bb,남자,19,경상남,고등학교,무직,남성,2,10대,경상남도,고졸
102,34881caa64cb4ad69525004bba5ae2b6,남자,19,인천,고등학교,무직,남성,2,10대,인천광역시,고졸
103,6d2cf1d90cfb4c9ab3ecd5832a071753,남자,19,인천,고등학교,무직,남성,2,10대,인천광역시,고졸
104,870e1b75bdb9422da3c902b93bf43757,남자,19,충청북,고등학교,무직,남성,2,10대,충청북,고졸
105,a384c0278eb547a98985da0e0b8e22a1,남자,19,서울,중학교,무직,남성,2,10대,서울특별시,중졸
106,77f35783fe204f9d9e6df8257b25116b,남자,19,경상남,고등학교,무직,남성,2,10대,경상남도,고졸
107,02156f30cada4d509ebbcc153c43292f,남자,19,경상남,고등학교,무직,남성,2,10대,경상남도,고졸
108,09568b482e9a4957b43a7fa276c02d79,남자,19,광주,고등학교,무직,남성,2,10대,광주광역시,고졸
109,e037db1d341e474ead0f8f1389e0741e,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
110,935885472c0e49d692040fc2d820047c,남자,19,경기,중학교,무직,남성,2,10대,경기도,중졸
111,cd49b1b8281d434792be3bc6ab0aa8b2,남자,19,충청북,고등학교,무직,남성,2,10대,충청북,고졸
112,f6ffa6a8ccf1487b879e567f1e9fe288,남자,19,울산,고등학교,무직,남성,2,10대,울산광역시,고졸
113,c80b920b81854f0b9ee3baf3f9814b99,남자,19,경상남,고등학교,판금원,남성,2,10대,경상남도,고졸
114,4ca4dace4a87494eac1bcef6734de205,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
115,4039f8b9f4fd486a8a92999e4118fa7e,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
116,d627611586af4e568c1e1f887bc62a8a,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
117,ffd8ff63cc7e42ddb09970eacef550b4,남자,19,강원,고등학교,한식 조리사,남성,2,10대,강원특별자치도,고졸
118,0a3ca7c145324be8b9f0cc669885cd84,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
119,f7af1fa49efd45729ae10e0a1083187c,남자,19,경상남,고등학교,무직,남성,2,10대,경상남도,고졸
120,5c2cd0425f7f45b89a9c3936fafb7b9b,남자,19,대구,고등학교,무직,남성,2,10대,대구광역시,고졸
121,f90caebc377d40e58c45975a8c626112,남자,19,전북,고등학교,무직,남성,2,10대,전북특별자치도,고졸
122,62cea7fc075e420b848255d26309b65f,남자,19,제주,고등학교,무직,남성,2,10대,제주특별자치도,고졸
123,aa48a4bb1c30419fa2727f1a2add1e8a,남자,19,제주,고등학교,정육가공원,남성,2,10대,제주특별자치도,고졸
124,75e189889c21483fae912aa7bc120b0f,남자,19,경상북,고등학교,무직,남성,2,10대,경상북도,고졸
125,bdc1da1025764d639913fc58f0345108,남자,19,경상남,고등학교,무직,남성,2,10대,경상남도,고졸
126,1734c69ee4a34736bf4ac0916f3740e8,남자,19,충청남,고등학교,무직,남성,2,10대,충청남,고졸
127,62a0c26571aa4e609b18dd73178fb778,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
128,775c99cf9fbd4f12a1d7d56b23b562f8,남자,19,인천,고등학교,무직,남성,2,10대,인천광역시,고졸
129,6a2957e7ad1f40babcfcdbe0e8265829,남자,19,부산,중학교,무직,남성,2,10대,부산광역시,중졸
130,cd484703a98f472791810591667bcb9a,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
131,f882368012b344239ff7e1cd8ee4695f,남자,19,제주,고등학교,무직,남성,2,10대,제주특별자치도,고졸
132,ce66b51a503c488d8a82411149e2c123,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
133,99d715d7b58c4ac2bff3dd8eb48a5b99,남자,19,경기,중학교,무직,남성,2,10대,경기도,중졸
134,dc9e709d2cd74a3087c805f58d4c9fd0,남자,19,대구,고등학교,무직,남성,2,10대,대구광역시,고졸
135,cfe704ff2943423eb3af99e66e4e5256,남자,19,인천,고등학교,무직,남성,2,10대,인천광역시,고졸
136,7b01c99160ec4fccb66d8f3d7d9f25f0,남자,19,강원,고등학교,무직,남성,2,10대,강원특별자치도,고졸
137,398f23a2a7c948d3b202a5ef37974b99,남자,19,인천,고등학교,경리 사무원,남성,2,10대,인천광역시,고졸
138,f795fc204c3348cabcc86414863d05eb,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
139,8aef4e648e3547afb4658717406cbadf,남자,19,경상남,고등학교,무직,남성,2,10대,경상남도,고졸
140,4948b2460e01471698355dc98a7e14b3,남자,19,경상북,고등학교,인쇄 관련 기능 종사원,남성,2,10대,경상북도,고졸
141,59370972063f41088dfde3feb46ba2ef,남자,19,경상북,고등학교,무직,남성,2,10대,경상북도,고졸
142,bf4591c274b5487794fba62f3fe65983,남자,19,경상북,고등학교,무직,남성,2,10대,경상북도,고졸
143,f41419da9e3c41ad8114233b997eb43f,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
144,1105eb47b4e54ed89290aad86a975b70,남자,19,경상남,고등학교,무직,남성,2,10대,경상남도,고졸
145,a54c39a3d3de44d88d4258bdf0b2884c,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
146,d9d0a328a47a40fea5f027c6ff2326ca,남자,19,울산,고등학교,무직,남성,2,10대,울산광역시,고졸
147,9fe27b41721042dc8278b56dd54c09b5,남자,19,부산,고등학교,무직,남성,2,10대,부산광역시,고졸
148,3f6c1a611bc6406b91181b31302522a5,남자,19,대구,고등학교,무직,남성,2,10대,대구광역시,고졸
149,86b2023d7c3a48a69bcd7680fe1c19e5,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
150,58ec394d162a4323aff4c2777f2df82d,남자,19,인천,고등학교,무직,남성,2,10대,인천광역시,고졸
151,615f0ef8d4634574b428097f54493392,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
152,3d71baa1ac4948a9b8538cf5251118e6,남자,19,인천,고등학교,무직,남성,2,10대,인천광역시,고졸
153,f04f6d9885ee41d0afafd6289a9613bc,남자,19,전라남,고등학교,무직,남성,2,10대,전라남,고졸
154,edb545540dca4641984c9b4a2d560a98,남자,19,제주,고등학교,무직,남성,2,10대,제주특별자치도,고졸
155,ce51e6d11dc044ab932c9b89f85b4bf8,남자,19,대구,고등학교,무직,남성,2,10대,대구광역시,고졸
156,2467b2204d264df39ce4d7f299daeb54,남자,19,대구,고등학교,무직,남성,2,10대,대구광역시,고졸
157,3d71baa1ac4948a9b8538cf5251118e6,남자,19,인천,고등학교,무직,남성,2,10대,인천광역시,고졸
158,c366462efcfd4c92891b14b7ae142f15,남자,19,충청북,고등학교,영업 관리 사무원,남성,2,10대,충청북,고졸
159,2ba865e0d9c24dce9036df0ad79fa4ef,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
160,75e189889c21483fae912aa7bc120b0f,남자,19,경상북,고등학교,무직,남성,2,10대,경상북도,고졸
161,5ea17189fa004959b1bfaa485b76eb36,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
162,35bfa17e5b7d47c6923a3938cea98d80,남자,19,대구,고등학교,무직,남성,2,10대,대구광역시,고졸
163,0b05dff91c454597ad659051cd9a892e,남자,19,대구,중학교,무직,남성,2,10대,대구광역시,중졸
164,153cc6ebf14242f3abb9cd3a11d5d55f,남자,19,서울,중학교,무직,남성,2,10대,서울특별시,중졸
165,72436dcdf77f4de685bdda5bf1232425,남자,19,경상남,중학교,무직,남성,2,10대,경상남도,중졸
166,3c2852ecfb2b472f950193d71b3efd90,남자,19,전북,중학교,무직,남성,2,10대,전북특별자치도,중졸
167,d030a8b6b32846feae35d5116b344077,남자,19,서울,중학교,무직,남성,2,10대,서울특별시,중졸
168,e54ac484deba47c18de7a75678f42b10,남자,19,경상남,고등학교,무직,남성,2,10대,경상남도,고졸
169,279fdbabd4c1423cb890391a5e5ec9b7,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
170,a56f9e0d723d47af9aaf0507bdf426ce,남자,19,대구,고등학교,무직,남성,2,10대,대구광역시,고졸
171,1cca38617dda4840bef173d453991afe,남자,19,경기,중학교,무직,남성,2,10대,경기도,중졸
172,9e34e5e2e2c8441ca6898ce81a4505c0,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
173,c709a291c7ce42ecb27cdf69306a1e4b,남자,19,강원,고등학교,무직,남성,2,10대,강원특별자치도,고졸
174,5eb9347cf8e94f119864c988ee36a28f,남자,19,경기,중학교,무직,남성,2,10대,경기도,중졸
175,900d5433b25149a8bfd34ea96ce8ca7c,남자,19,서울,중학교,무직,남성,2,10대,서울특별시,중졸
176,ed832abec4314671bf639284592c5d2d,남자,19,인천,고등학교,무직,남성,2,10대,인천광역시,고졸
177,f2a125cae3684e23bfd3ddfec4b7d4aa,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
178,26b747d0bdb24b708ba7b6c4453a8226,남자,19,충청북,고등학교,무직,남성,2,10대,충청북,고졸
179,64a3e1ef1b0d4a40b0990447c062491f,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
180,af68e6c180284da185b2c8fd91c96607,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
181,b93c38e916984925a1b5423905dc142a,남자,19,부산,고등학교,무직,남성,2,10대,부산광역시,고졸
182,919fa87b18a745d8a17830a28f6914e6,남자,19,부산,고등학교,무직,남성,2,10대,부산광역시,고졸
183,b02723c9799242848941fc7a77f5343f,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
184,809bfefe157541828df1390bc60c0645,남자,19,충청남,고등학교,무직,남성,2,10대,충청남,고졸
185,da0c085215b4453793da979c3b7f4e3f,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
186,1677b5d1bfee4e8a934c4a2f5c6b41e8,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
187,e52a5879d2f14442b9ee4b481f1d7bc4,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
188,73bb4532fe334109b745622d5ccaf9a4,남자,19,세종,고등학교,무직,남성,2,10대,세종특별자치시,고졸
189,9108255906fe4f9ab0916e184160d59d,남자,19,경기,중학교,무직,남성,2,10대,경기도,중졸
190,6f70420fddf349c4bc8e6ae4add9aa9e,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
191,f7f321506c1e4b088705091d91be9cb8,남자,19,경상남,고등학교,무직,남성,2,10대,경상남도,고졸
192,e672dbf413354c5686310b2916cc919d,남자,19,경상북,고등학교,무직,남성,2,10대,경상북도,고졸
193,cd7927ea171f49fcb35ba50fc86f32cd,남자,19,충청북,고등학교,무직,남성,2,10대,충청북,고졸
194,73b96dc9267146538801489cf2440ead,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
195,ac2efac9a7db4a4daceb2a103cbb87b5,남자,19,경상남,고등학교,무직,남성,2,10대,경상남도,고졸
196,72c9d2f070c74c64b9a311df8893632d,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
197,bc45dee0c9824d13b1e786417f471265,남자,19,경기,중학교,무직,남성,2,10대,경기도,중졸
198,e8fbb8b77ad94cc49f8acaebac70a1da,남자,19,경기,중학교,무직,남성,2,10대,경기도,중졸
199,58882ce282c14390abc3c2ac7da2e05d,남자,19,충청북,중학교,두부 및 유사 제품 기계 조작원,남성,2,10대,충청북,중졸
200,0046347ffc69470a9f7413aca1b83318,남자,19,부산,고등학교,무직,남성,2,10대,부산광역시,고졸
201,f715913ecf00470f9b151e9b88f996f4,남자,19,부산,고등학교,무직,남성,2,10대,부산광역시,고졸
202,89e6a6debc2749faa48f945d9a01f7c1,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
203,58f6bac2b4bb4282b2f2b19b4293841d,남자,19,경상북,고등학교,무직,남성,2,10대,경상북도,고졸
204,b946627c393b4af797ea4b79f3b78542,남자,19,전라남,고등학교,무직,남성,2,10대,전라남,고졸
205,7fa42eae891e41d78eccfb2bcec57536,남자,19,경기,중학교,무직,남성,2,10대,경기도,중졸
206,31c8150065224d40bc276b837e09dc54,남자,19,대전,고등학교,무직,남성,2,10대,대전광역시,고졸
207,36bbea5101854d6592bc67f0491c8020,남자,19,강원,고등학교,무직,남성,2,10대,강원특별자치도,고졸
208,787f6889b5764e0d89731a4f123249ee,남자,19,전북,고등학교,무직,남성,2,10대,전북특별자치도,고졸
209,b9a4f1ea89e940329045ba167c966c89,남자,19,대전,고등학교,무직,남성,2,10대,대전광역시,고졸
210,2030ff4087714c6bbbf6f264a21b7eea,남자,19,인천,고등학교,무직,남성,2,10대,인천광역시,고졸
211,fc25ec2e68254842879d1a45d6fcd673,남자,19,경상남,중학교,무직,남성,2,10대,경상남도,중졸
212,b8f38305da6942b3b87e96bbf0787765,남자,19,경상남,중학교,무직,남성,2,10대,경상남도,중졸
213,b786f57e0d1b4c2da0662bd5eaa58b90,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
214,0d0afd7af16f4937b7a48d6ba4dd8623,남자,19,전라남,고등학교,무직,남성,2,10대,전라남,고졸
215,e5d8c04b6a8c450186a7cce4c9ec017e,남자,19,강원,고등학교,무직,남성,2,10대,강원특별자치도,고졸
216,6c424d8be46f4e6191cf58207cbaf220,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
217,2cb577fedb294811a244132ab7a7f3cc,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
218,7a61735a47ea433db409b0bacb29d0f7,남자,19,경상남,고등학교,무직,남성,2,10대,경상남도,고졸
219,525ca70935834f1688d6932bd4d58431,남자,19,대구,고등학교,무직,남성,2,10대,대구광역시,고졸
220,b8098d2f2fc045aead996de33526cb43,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
221,2e10f66a7a364cd6bc2299a0331d82e2,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
222,83fb3aabeea240ff85b48b7f68f0b275,남자,19,울산,고등학교,무직,남성,2,10대,울산광역시,고졸
223,c9f43f1363f54e3497a49aef9c56c8ca,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
224,20281c7420fd4997a4846d0f681979a7,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
225,586cc1026ceb4b7fb34edca0ee2725ca,남자,19,부산,고등학교,무직,남성,2,10대,부산광역시,고졸
226,e672dbf413354c5686310b2916cc919d,남자,19,경상북,고등학교,무직,남성,2,10대,경상북도,고졸
227,8b89d4faeb3b4fc2bf12cfdb74732870,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
228,4afb65333b88444097e850ecdf58606c,남자,19,경상남,고등학교,지게차 운전원,남성,2,10대,경상남도,고졸
229,21e7a1c0a3814fb598515e3ec1184067,남자,19,인천,고등학교,주류 서비스 종사원,남성,2,10대,인천광역시,고졸
230,ae4cd78fa85d42339cdd5dcf77d983be,남자,19,부산,고등학교,무직,남성,2,10대,부산광역시,고졸
231,cccbc7bb676a45d184bd1e6f74c2237c,남자,19,인천,중학교,무직,남성,2,10대,인천광역시,중졸
232,c1e65617b3e6491fb6d651f74b42a867,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
233,6b3e047b81b147f0aac3e38c73bf4ea0,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
234,28d5ba12f661483dbd958f197948f7cd,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
235,279fc58d7ec54857b10580056a77892e,남자,19,서울,고등학교,"전직 회계 사무원, 현재 구직중",남성,2,10대,서울특별시,고졸
236,acdf58c4d6564c20b8c64baca9aae7d4,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
237,890c5c99a3cb450baceb0ac9a0619639,남자,19,인천,고등학교,무직,남성,2,10대,인천광역시,고졸
238,3161e8ac31474c78abde4b02d65b1dd7,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
239,bacb80b3f30b417faf4ad5c6dc60d349,남자,19,경기,중학교,노점 및 이동 판매원,남성,2,10대,경기도,중졸
